id,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_jail_in,c_jail_out,c_offense_date,c_arrest_date,c_days_from_compas,c_charge_degree,c_charge_desc,is_recid,r_charge_degree,r_days_from_arrest
1,Male,69,Greater than 45,Other,0,1,0,0,0,-1,13/08/2013 6:03,14/08/2013 5:41,13/08/2013,,1,F,Aggravated Assault w/Firearm,0,,
3,Male,34,25 - 45,African-American,0,3,0,0,0,-1,26/01/2013 3:45,5/02/2013 5:36,26/01/2013,,1,F,Felony Battery w/Prior Convict,1,(F3),
4,Male,24,Less than 25,African-American,0,4,0,1,4,-1,13/04/2013 4:58,14/04/2013 7:02,13/04/2013,,1,F,Possession of Cocaine,1,(M1),0
5,Male,23,Less than 25,African-American,0,8,1,0,1,,,,12/01/2013,,1,F,Possession of Cannabis,0,,
6,Male,43,25 - 45,Other,0,1,0,0,2,,,,,9/01/2013,76,F,arrest case no charge,0,,
7,Male,44,25 - 45,Other,0,1,0,0,0,0,30/11/2013 4:50,1/12/2013 12:28,30/11/2013,,0,M,Battery,0,,
8,Male,41,25 - 45,Caucasian,0,6,0,0,14,-1,18/02/2014 5:08,24/02/2014 12:18,18/02/2014,,1,F,Possession Burglary Tools,1,(F2),0
9,Male,43,25 - 45,Other,0,4,0,0,3,-1,29/08/2013 8:55,30/08/2013 8:42,,29/08/2013,1,F,arrest case no charge,0,,
10,Female,39,25 - 45,Caucasian,0,1,0,0,0,-1,15/03/2014 5:35,18/03/2014 4:28,15/03/2014,,1,M,Battery,0,,
13,Male,21,Less than 25,Caucasian,0,3,0,0,1,428,6/01/2015 3:55,7/01/2015 3:38,31/12/2012,,308,F,Insurance Fraud,1,(M1),0
14,Male,27,25 - 45,Caucasian,0,4,0,0,0,-1,25/11/2013 6:31,26/11/2013 8:26,25/11/2013,,1,F,"Poss 3,4 MDMA (Ecstasy)",0,,
15,Male,23,Less than 25,African-American,0,6,0,0,3,0,3/10/2013 4:07,7/10/2013 8:17,3/10/2013,,0,M,Battery,1,(M2),
16,Female,37,25 - 45,Caucasian,0,1,0,0,0,0,1/01/2013 3:28,2/01/2013 1:12,1/01/2013,,0,M,Battery,0,,
18,Male,41,25 - 45,African-American,0,4,0,0,0,-1,8/10/2013 11:53,9/10/2013 2:16,8/10/2013,,1,F,"Poss3,4 Methylenedioxymethcath",0,,
19,Female,47,Greater than 45,Caucasian,0,1,0,0,1,-20,10/10/2013 5:12,24/10/2013 11:30,,27/06/2012,490,F,arrest case no charge,1,(F3),0
20,Male,31,25 - 45,African-American,0,3,0,0,7,22,25/06/2014 2:15,28/06/2014 5:02,24/03/2014,,71,F,Felony Driving While Lic Suspd,1,(M1),0
21,Male,37,25 - 45,Hispanic,0,1,0,0,0,0,24/03/2014 3:20,24/03/2014 9:09,24/03/2014,,0,M,Battery,0,,
22,Male,25,25 - 45,African-American,0,10,0,0,3,-1,21/12/2013 5:42,22/12/2013 9:11,21/12/2013,,1,F,Grand Theft in the 3rd Degree,0,,
23,Male,31,25 - 45,Caucasian,0,5,0,0,6,-1,16/11/2013 7:12,17/11/2013 8:28,16/11/2013,,1,F,Driving While License Revoked,1,(F3),
24,Male,31,25 - 45,Caucasian,0,3,0,0,5,-1,14/11/2014 1:37,15/11/2014 4:57,14/11/2014,,1,F,Possession Of Heroin,1,(F3),1
25,Male,64,Greater than 45,African-American,0,6,0,0,13,-1,1/05/2014 6:49,2/05/2014 9:28,,1/05/2014,1,F,arrest case no charge,1,(F2),0
26,Male,21,Less than 25,African-American,0,9,0,0,1,-1,17/04/2013 1:40,20/04/2013 4:19,17/04/2013,,1,F,Battery on Law Enforc Officer,1,(M2),0
27,Male,27,25 - 45,Caucasian,0,2,0,0,0,0,16/10/2014 5:43,16/10/2014 12:40,16/10/2014,,0,M,Possession Of Methamphetamine,1,(M2),
28,Female,21,Less than 25,Caucasian,0,4,0,0,0,-2,20/11/2013 4:12,21/11/2013 7:53,20/11/2013,,2,F,Introduce Contraband Into Jail,0,,
30,Male,24,Less than 25,Hispanic,0,4,0,0,1,0,8/02/2013 4:50,9/02/2013 4:43,7/02/2013,,1,F,Lewd/Lasc Battery Pers 12+/<16,1,(M1),
32,Male,43,25 - 45,Caucasian,0,1,0,0,1,-1,24/01/2013 3:43,25/01/2013 9:12,24/01/2013,,1,M,Susp Drivers Lic 1st Offense,0,,
33,Male,32,25 - 45,Other,0,3,0,0,0,-1,10/05/2013 8:38,12/05/2013 3:33,10/05/2013,,1,M,Battery,0,,
37,Male,27,25 - 45,African-American,0,3,0,0,8,-1,5/05/2013 9:07,22/05/2013 9:08,5/05/2013,,1,F,Carrying Concealed Firearm,1,(M2),
38,Female,36,25 - 45,Caucasian,0,3,0,0,3,53,10/05/2013 11:15,11/05/2013 7:01,,13/12/2012,95,F,arrest case no charge,0,,
39,Male,26,25 - 45,African-American,0,7,0,1,5,-1,19/02/2013 7:47,20/02/2013 6:33,19/02/2013,,1,F,Pos Cannabis W/Intent Sel/Del,1,(M1),0
40,Male,33,25 - 45,African-American,0,10,0,0,0,0,24/10/2014 12:50,1/12/2014 7:49,23/10/2014,,1,F,Tampering With Physical Evidence,1,(F3),
41,Male,30,25 - 45,Caucasian,0,9,0,0,9,0,28/01/2013 2:28,13/03/2013 7:32,28/01/2013,,0,F,Felony Battery w/Prior Convict,1,(F3),0
42,Male,32,25 - 45,African-American,0,8,0,0,4,-1,14/11/2014 3:07,15/11/2014 4:56,14/11/2014,,1,F,Att Tamper w/Physical Evidence,1,(M1),1
45,Male,55,Greater than 45,Caucasian,0,1,0,0,0,-1,29/12/2013 6:37,31/12/2013 10:29,,29/12/2013,1,F,arrest case no charge,0,,
50,Male,49,Greater than 45,Other,0,3,0,0,7,-1,3/04/2013 4:47,7/04/2013 2:54,4/04/2013,,0,F,Agg Fleeing and Eluding,1,(M1),
